YEAR,MO,DY,meantemp,humidity,wind_speed,meanpressure
2026,1,1,14.21,68.54,1.8,100.55
2026,1,2,14.69,73.52,2.47,100.74
2026,1,3,13.86,80.26,2.84,100.89
2026,1,4,12.89,75.36,2.01,101.01
2026,1,5,11.67,74.82,2.52,101.12
2026,1,6,11.69,75.88,2.47,101.11
2026,1,7,12.72,73.48,2.6,101.17
2026,1,8,12.36,66.73,2.27,101.23
2026,1,9,11.54,63.08,2.59,101.12
2026,1,10,12.79,63.3,2.85,100.97
2026,1,11,14.07,70.86,3.37,101.05
2026,1,12,12.85,69.58,2.93,101.2
2026,1,13,11.68,64.01,3.6,100.97
2026,1,14,12.05,66.76,3.26,100.72
2026,1,15,11.74,66.39,3.21,100.71
2026,1,16,11.78,67.77,2.74,100.68
2026,1,17,12.89,64.58,2.36,100.56
2026,1,18,15.63,54.82,1.59,100.38
2026,1,19,18.31,50.88,1.18,100.45
2026,1,20,18.04,59.03,2.26,100.58
2026,1,21,15.97,61.24,3.15,100.74
2026,1,22,16.18,57.86,2.37,100.8
2026,1,23,16.56,55.25,2.48,100.83
2026,1,24,17.15,57.88,1.97,100.92
2026,1,25,18.08,66.17,3.19,100.83
2026,1,26,17.68,64.72,2.58,100.98
2026,1,27,19.06,65.03,1.11,100.94
2026,1,28,17.17,76.67,2.14,100.84
2026,1,29,16.51,73.18,2.9,100.87
2026,1,30,15.55,67.14,2.89,100.93
2026,1,31,16.37,57.2,1.42,100.99
2026,2,1,17.29,50.86,1.85,100.96
2026,2,2,18.34,59.81,2.54,100.88
2026,2,3,17.97,75.1,2.64,101.01
2026,2,4,17.15,62.25,3.27,101.04
2026,2,5,16.28,58.44,3.87,100.95
2026,2,6,15.49,59.01,3.48,100.88
2026,2,7,16.33,58.57,4.15,100.66
2026,2,8,17.28,57.21,3.67,100.59
2026,2,9,17.29,53.4,2.4,100.64
2026,2,10,18.43,45.26,2.02,100.72
2026,2,11,18.75,47.97,2.93,100.86
2026,2,12,18.76,52.86,3.12,100.8
2026,2,13,18.21,55.14,3.2,100.65
2026,2,14,18.26,48.88,3.08,100.49
2026,2,15,18.47,50.36,3.32,100.48
2026,2,16,20.27,46.26,2.43,100.48
2026,2,17,21.37,37.83,1.39,100.53
2026,2,18,21.09,38.6,1.2,100.5
2026,2,19,19.96,49.04,2.58,100.66
2026,2,20,21.3,50.77,3.05,100.75
2026,2,21,21.66,53.41,3.52,100.34
2026,2,22,21,49.4,3.06,100.09
2026,2,23,22.43,42.26,1.96,100.09
2026,2,24,22.65,36.59,1.6,100.26
2026,2,25,21.45,40.66,2.81,100.32
2026,2,26,20.91,36.93,3.47,100.12
2026,2,27,21.65,39.63,3.6,99.88
2026,2,28,23.59,39.8,3.39,99.78
2026,3,1,25.86,27.04,3.45,99.63
2026,3,2,25.12,22.8,4.32,99.84
2026,3,3,25,24.83,3.85,99.93
2026,3,4,25.18,23.02,2.56,99.97
2026,3,5,25.37,25.81,1.59,99.78
2026,3,6,26.29,30.21,2.1,99.77
2026,3,7,27.58,36.28,1.85,99.89
2026,3,8,28.4,36.6,2.05,99.93
2026,3,9,28.76,38.86,2.2,100
2026,3,10,28.75,45.07,2.4,100.15
2026,3,11,29.37,38.51,2.58,99.95
2026,3,12,29.08,19.92,3.87,99.68
2026,3,13,29.16,18.09,3.44,99.59
2026,3,14,30.21,24.01,3.37,99.65
2026,3,15,31.41,20.15,1.55,99.64
2026,3,16,30.07,26.06,2.16,99.55
2026,3,17,29.33,23.24,2.61,99.61
2026,3,18,30,21.95,2.19,99.75
2026,3,19,29.94,22.5,2.65,99.8
2026,3,20,27.51,35.61,4.18,99.79
2026,3,21,24.52,53.24,2.5,100.08
2026,3,22,25.11,50.46,2.08,100.05
2026,3,23,27.25,33.76,3.16,99.94
2026,3,24,28.8,31.16,2.94,99.78
2026,3,25,28.75,25.16,3.02,99.78
2026,3,26,29.51,21.6,3.41,99.87
2026,3,27,30.15,27.56,2.95,99.58
2026,3,28,30.64,34.45,1.54,99.41
2026,3,29,31.76,28.72,2.29,99.43
2026,3,30,31.81,31.21,2.56,99.49
