YEAR,MO,DY,meantemp,humidity,wind_speed,meanpressure
2020,1,1,9.98,82.94,2.09,101.25
2020,1,2,13.44,84.7,2.25,101.19
2020,1,3,14,92.51,2.01,100.86
2020,1,4,14.31,85.76,1.95,100.77
2020,1,5,13.15,83.57,3.29,100.86
2020,1,6,13.04,78.36,2.54,101.03
2020,1,7,14.72,69.86,1.07,100.84
2020,1,8,16,74.25,2.33,100.54
2020,1,9,14.66,85.18,3.04,100.73
2020,1,10,10.91,79.69,3.33,101.01
2020,1,11,9.21,76.07,2.66,101.09
2020,1,12,10.07,74.03,2.47,100.81
2020,1,13,12.25,67.88,1.18,100.5
2020,1,14,14.23,67.74,1.91,100.5
2020,1,15,15.46,73.5,1.47,100.64
2020,1,16,16.84,77.25,2.5,100.48
2020,1,17,15.99,90.49,2.27,100.59
2020,1,18,15.76,82.8,2.24,100.77
2020,1,19,13.39,80.78,3.51,100.82
2020,1,20,12.06,78.55,3.06,100.89
2020,1,21,12.95,67.64,1.76,101.01
2020,1,22,13.7,70.16,2.37,101
2020,1,23,13.28,72.32,4.26,100.81
2020,1,24,12.06,68.67,4.03,100.78
2020,1,25,12.56,64.3,2.26,100.8
2020,1,26,12.32,69.03,2.82,100.64
2020,1,27,15.34,64.93,2.67,100.47
2020,1,28,16.09,69.99,2.95,100.35
2020,1,29,17.25,80.61,2.23,100.53
2020,1,30,14.91,74.51,3.75,100.68
2020,1,31,12.73,67.61,3.46,100.62
2020,2,1,13.26,63.54,2.82,100.86
2020,2,2,12.71,67.73,3.64,101.03
2020,2,3,12.65,63.28,2.71,101.02
2020,2,4,14.19,62.92,1.73,100.81
2020,2,5,14.61,64.22,3.14,100.7
2020,2,6,14.64,62.99,2.85,100.76
2020,2,7,14.62,61.4,1.99,100.91
2020,2,8,13.43,61.79,2.94,101.09
2020,2,9,13.31,63.3,2.61,101.18
2020,2,10,13.66,62.07,2.77,101.03
2020,2,11,13.9,59.15,2.62,101.03
2020,2,12,14.21,61.56,3.11,100.97
2020,2,13,16.1,66.51,3.82,100.6
2020,2,14,18.67,63.52,5.03,100.19
2020,2,15,16.8,61.42,3.95,100.41
2020,2,16,17.77,52.6,2.2,100.7
2020,2,17,16.82,56.37,2.6,100.79
2020,2,18,17.2,51.36,3.67,100.59
2020,2,19,18.8,43.83,2.04,100.67
2020,2,20,18.81,44.86,2.53,100.66
2020,2,21,19.83,50.73,3.45,100.78
2020,2,22,19.99,67.04,3.28,100.97
2020,2,23,21.18,64.8,2.07,100.78
2020,2,24,21.65,65.24,1.3,100.45
2020,2,25,20.26,66.83,1.9,100.38
2020,2,26,18.17,74.49,2.06,100.59
2020,2,27,19.02,69.87,1.94,100.67
2020,2,28,20.03,57.6,1.73,100.55
2020,2,29,20.71,55.34,1.82,100.4
2020,3,1,22.23,54.19,1.56,100.37
2020,3,2,22.95,59.82,2.02,100.33
2020,3,3,23.84,54.05,1.86,100.2
2020,3,4,24.09,48.86,1.04,100.18
2020,3,5,24.17,51.19,2.45,100.09
2020,3,6,23.78,63.11,3.35,100.14
2020,3,7,23.81,63.35,2.87,100.35
2020,3,8,21.78,56.07,3.47,100.49
2020,3,9,20.91,47.57,4.3,100.32
2020,3,10,21.69,46.72,3.03,100.32
2020,3,11,20.25,72.32,2.51,100.35
2020,3,12,24.74,64.95,2.2,100.35
2020,3,13,23.62,74.24,2.52,100.43
2020,3,14,21.63,76.89,4.21,100.54
2020,3,15,21.16,67.93,2.29,100.53
2020,3,16,21.91,55.67,2.87,100.57
2020,3,17,22.05,49.82,2.87,100.63
2020,3,18,22.99,47.2,3.26,100.48
2020,3,19,24.28,44.47,3.3,100.24
2020,3,20,24.37,49.75,3.26,100.16
2020,3,21,24.87,49.93,2.62,100.22
2020,3,22,25.27,54.22,2.03,100.28
2020,3,23,26.38,44.86,2,100.2
2020,3,24,26.25,47.88,2.42,100.1
2020,3,25,27.87,44.03,3.51,100
2020,3,26,26.95,46.37,4.55,100.09
2020,3,27,28.34,47.12,3.82,100.22
2020,3,28,27.32,50.89,4.61,100.23
2020,3,29,26,37.95,5.11,100.07
2020,3,30,26.23,35.64,4.88,100.14
2020,3,31,27.42,36.76,3.72,100.11
2020,4,1,30.03,31.35,2.62,99.9
2020,4,2,29.93,32.02,3.44,99.81
2020,4,3,26.81,31.21,5.01,100.11
2020,4,4,26.4,27.09,4.41,100.17
2020,4,5,27.32,26.55,4.2,100.2
2020,4,6,29.11,27.66,5.15,100.02
2020,4,7,29.14,27.69,4.29,99.83
2020,4,8,29.7,25.67,2.82,99.9
2020,4,9,30.57,25.5,2.61,99.96
2020,4,10,29.76,26.66,3.62,100.11
2020,4,11,31.1,27.08,3.28,100.19
2020,4,12,31.4,26.71,3.78,99.99
2020,4,13,32.8,23.83,2.6,99.83
2020,4,14,34.01,24.24,1.92,99.86
2020,4,15,34.35,24.85,3.59,99.89
2020,4,16,33.5,22.17,3.67,99.66
2020,4,17,34.34,21.64,3.12,99.64
2020,4,18,33.44,26.39,2.82,99.79
2020,4,19,33.5,26.94,3.48,99.69
2020,4,20,32.67,31.37,1.61,99.79
2020,4,21,30.37,37.72,3.17,99.88
2020,4,22,31.14,33.16,2.68,99.83
2020,4,23,31.35,27.83,3.21,99.75
2020,4,24,31.41,27.69,2.48,99.66
2020,4,25,31.63,27.61,2.14,99.71
2020,4,26,28.43,51.84,3.66,99.96
2020,4,27,28.97,52.72,2.62,100.14
2020,4,28,29.57,49.7,2.15,100.09
2020,4,29,29.61,47.55,2.04,99.93
2020,4,30,31.38,40.37,1.14,99.94
2020,5,1,31.61,45.5,2.06,99.8
2020,5,2,30.46,50.97,2.82,99.72
2020,5,3,31.12,48.53,3,99.72
2020,5,4,31.57,46.67,2.04,99.84
2020,5,5,31.55,47.81,1.81,99.79
2020,5,6,30.93,46.1,2.7,99.83
2020,5,7,30.93,41.79,3.04,99.81
2020,5,8,31.64,38.78,3.32,99.7
2020,5,9,33.2,34.1,2.29,99.73
2020,5,10,33.81,35.35,3.26,99.74
2020,5,11,31.76,46.93,1.96,99.92
2020,5,12,33,39.74,2.85,99.8
2020,5,13,32.9,39.89,2.7,99.64
2020,5,14,32.99,41.16,2.7,99.64
2020,5,15,34.76,36.22,3.75,99.41
2020,5,16,35.27,31.07,4.47,99.33
2020,5,17,34.66,26.7,4.18,99.31
2020,5,18,35.44,25.25,2.76,99.13
2020,5,19,34.8,29.59,2.68,99.08
2020,5,20,34.15,26.82,4.13,98.96
2020,5,21,34.27,33.38,3.68,99
2020,5,22,35.85,16.18,2.96,99.09
2020,5,23,36.36,23.56,3.51,99.25
2020,5,24,38.33,20.2,3.67,99.19
2020,5,25,39.51,15.49,4.87,99.12
2020,5,26,40.09,14.42,5.55,99.02
2020,5,27,40.74,15.88,5.27,98.94
2020,5,28,36.59,35.23,6.35,99.22
2020,5,29,34.9,38.49,4.94,99.4
2020,5,30,36.11,33.79,2.85,99.47
2020,5,31,34.49,45.66,2.12,99.63
2020,6,1,33.46,48.55,3.54,99.66
2020,6,2,32.47,45.99,3.03,99.66
2020,6,3,32.12,47.12,3.75,99.54
2020,6,4,30.17,55.54,3.22,99.5
